em.faraday-successor	holon, coholon, complex	Φ_f(n) − Φ_f(0) = −Σ_{t<n} ∮_{∂f} emf(t)	one face of an exact discrete Faraday history is a successor-current law: flux is the coordinate and negative circulation its source	SatisfiesFaradayHistory on a finite grain	L:Physics/HolonicEntropyActionInduction:faradaySuccessorCurrent_telescopes; L:Physics/HolonicEntropyActionInduction:faradaySuccessorCurrent	formal-checked	instance-of:coupling.holonic-successor-induction
thermal.entropy-production	tube, holon, receiver	S_{k+1} − S_k + J_out,k = σ_k ⇒ S_n − S_0 + Σ J_out = Σ σ;  J_out in ker ρ ⇒ ρ(S_n − S_0) = ρ(Σσ)	a world-tube entropy line telescopes to total interior production minus side current; a balance closes after projection to a receiver when the side current lies in its kernel	additive quantity line, finite epochs	L:Physics/HolonicEntropyActionInduction:CurrentBalance.telescopes; L:Physics/HolonicEntropyActionInduction:CurrentBalance.receiver_difference_eq_production	formal-checked	uses:coupling.holonic-successor-induction, uses:coupling.holonic-entropy-current-balance
heat.second-law-receiver	tube, receiver	σ_k ≥ 0 in the receiver cone, J_out ∈ ker ρ ⇒ ρ S monotone;  ρ(S_n − S_0) = 0 ⇔ every ρ σ_k = 0	entropy increase is relative to a receiver cone, not an absolute scalar clock; a null total change is the nullity of every local production grain	ordered receiver, nonnegative production	L:Physics/HolonicEntropyActionInduction:CurrentBalance.receiver_monotone_of_boundary_kernel; L:Physics/HolonicEntropyActionInduction:CurrentBalance.receiver_difference_eq_zero_iff; L:Physics/HolonicEntropyActionInduction:EntropyCurrentBalance.closed_monotone; L:Physics/HolonicEntropyActionInduction:EntropyCurrentBalance.closed_difference_eq_zero_iff	formal-checked	uses:thermal.entropy-production, uses:coupling.holonic-entropy-current-balance
heat.h-theorem-core	constitution, contact	f monotone ⇒ (y − x)(f y − f x) ≥ 0;  σ = Σ κ_o (y_o − x_o)(f y_o − f x_o) ≥ 0;  f strictly monotone, κ > 0: σ = 0 ⇔ every y_o = x_o	a monotone constitutive response pairs an oriented difference with a difference of the same hand, so interaction production is nonnegative and has no hidden cancellation under a strict response	ordered ring, κ ≥ 0	L:Physics/HolonicEntropyActionInduction:monotoneDifference_product_nonnegative; L:Physics/HolonicEntropyActionInduction:interactionProduction_nonnegative; L:Physics/HolonicEntropyActionInduction:interactionProduction_eq_zero_iff_of_strict; L:Physics/HolonicEntropyActionInduction:strictMonotoneDifference_product_pos_iff	formal-checked	specializes:contact.material, generalizes:coupling.holonic-strict-response-production
heat.thermal-gradient-split	coholon	D_ij = ½(D_ij + D_ji) + ½(D_ij − D_ji);  stretch symmetric, turn antisymmetric with zero diagonal	an inverse-temperature gradient splits into a receiver stretch and a receiver turn on the four addressed axes	4×4 derivative	L:Physics/HolonicEntropyActionInduction:thermalGradient_eq_stretch_add_turn; L:Physics/HolonicEntropyActionInduction:thermalTurn_swap; L:Physics/HolonicEntropyActionInduction:thermalStretch_swap	formal-checked	uses:coupling.holonic-thermal-stretch-turn
heat.entropy-cross-current	holon, receiver, cycle	X_{ij}(L,R) = L_i R_j − L_j R_i;  X_{ji} = −X_{ij};  X(R,L) = −X(L,R);  X(L,L) = 0;  X(L′,R′) − X(L,R) = X(L′−L, R) + X(L′, R′−R)	the entropy/action two-current is an exterior product on four torus axes: oriented, antisymmetric in the Holons, zero on aligned currents, with an exact one-event Leibniz return	commutative scalars; on integer windings it is the six-plane cycle wedge	L:Physics/HolonicEntropyActionInduction:entropyAxisCrossCurrent_returnedDifference; L:Physics/HolonicEntropyActionInduction:entropyAxisCrossCurrent_swap_holons; L:Physics/HolonicEntropyActionInduction:entropyAxisCrossCurrent_aligned; L:Physics/HolonicEntropyActionInduction:entropyAxisCrossCurrent_eq_cycleWedge	formal-checked	uses:holon.stokes, uses:coupling.holonic-entropy-axis-cross-current
heat.cross-current-alignment	holon, receiver	over a field, L ≠ 0: (∀ i,j: X_{ij}(L,R) = 0) ⇔ ∃c: R = cL;  one zero plane keeps a large fibre	the complete six-plane null reading reconstructs one common current line, while a single plane does not	field scalars, nonzero reference	L:Physics/HolonicEntropyActionInduction:allEntropyAxisCrossCurrents_zero_iff_aligned; L:Physics/HolonicEntropyActionInduction:entropyAxisCrossFiber_nontrivial	formal-checked	uses:heat.entropy-cross-current
ph.skew-dissipative-turn	constitution, holon	ṙ(g) = Ω(g,g) − D(g) + s(g) = −D(g) + s(g) for alternating Ω;  s = 0 ⇒ ṙ ≤ 0	alternation annihilates the conservative self-pairing: the skew part circulates while the positive part makes the returned potential rate nonpositive	Ω alternating bilinear, D ≥ 0, explicit source s	L:Physics/HolonicEntropyActionInduction:SkewDissipativeTurnLaw.returnedRate_eq; L:Physics/HolonicEntropyActionInduction:SkewDissipativeTurnLaw.returnedRate_nonpositive_of_source_zero	formal-checked	generalizes:contact.material
heat.free-energy-grain	constitution, receipt	F = E − Θ(S);  F′ − F = (E′ − E) − Θ(S′ − S);  F_after + D = F_before + P_boundary, D ≥ 0, P_boundary = 0 ⇒ F_after ≤ F_before	physical free energy keeps energy and entropy differences separate, and a closed grain with nonnegative dissipation cannot increase it	additive thermal constitution Θ at fixed temperature; rational chart F = E − T·S	L:Physics/HolonicEntropyActionInduction:freeEnergy_difference; L:Physics/HolonicEntropyActionInduction:FreeEnergyBalanceGrain.closed_descends; L:Physics/HolonicEntropyActionInduction:rational_freeEnergy	formal-checked	uses:xent.free-energy-kl
wave.junction-reflection	contact, tube, deposition	Γ = (R − M)/(R + M),  T = 4RM/(R + M)²,  T + Γ² = 1,  Γ = 0 ⇔ R = M,  service rounds = ⌈(R + M)²/(4RM)⌉ = ⌈1/T⌉ (1 when matched, ≥ 2 when unmatched)	a junction between arrived and transmitted populations reflects exactly by the impedance mismatch; crossing and reflected power exhaust the arrival, and an unmatched boundary re-enters at least once more	positive rational populations R, M	L:Computation/HolonicWorldReturnDeposit:transmission_add_reflection_sq; L:Computation/HolonicWorldReturnDeposit:reflection_eq_zero_iff; L:Computation/HolonicWorldReturnDeposit:serviceRounds_eq_ceil_inv_transmission; L:Computation/HolonicWorldReturnDeposit:serviceRounds_ge_two_of_unmatched	formal-checked	uses:learn.route-deposit
physics.port-hamiltonian	holon, constitution, receipt	ẋ = (J − R)∇𝓗(x) + Bu,  y = Bᵀ∇𝓗;  d𝓗/dτ = −⟨f_R, R f_R⟩ + ⟨e_P, f_P⟩ + ⟨e_A, f_A⟩ (+ ½⟨x, Q̇x⟩ for a changing constitution)	a Holon's motion is a bond in its Dirac structure satisfying its element relations: storage rate = −dissipation + port power + active power + deposition work	PortHolon over ℝ: Dirac D on storage/resistive/external/active ports, storage ½⟨x,Qx⟩ or nonlinear 𝓗 with d𝓗 = ⟨e,·⟩	L:Holon/Element:PortHolon.energy_balance; L:Holon/Element:PortHolon.energy_balance_fderiv; L:Holon/Element:PortHolon.power_balance; D:ELEMENTARY_OBJECTS.md#the-holon-as-one-object	formal-checked	uses:holon.power-neutral, uses:holon.energy-balance
